test_id	gene_id	gene_name	event_type	event_components	chromosome	strand	left_anchor	right_anchor	n_tested_paths	tested_path_signatures	n_test_levels	statistic	empirical_p_value	fdr
ENSMUSG00000032216.16:B1	ENSMUSG00000032216.16	Nedd4	alternative first region		chr9	+	null	[72625499, 72625666]	2	[[[72569627, 72569895], [72577233, 72577398], [72578511, 72578585], [72584596, 72584675], [72584774, 72584813], [72593342, 72593396], [72616393, 72616444], [72617759, 72617821], [72619448, 72619548]], [[72575961, 72577398], [72578511, 72578585], [72584596, 72584675], [72584774, 72584813], [72593342, 72593396], [72616393, 72616444], [72617759, 72617821], [72619448, 72619548]]]	13	87.02161937863639	0.0001243781094527	0.0117598283094332
ENSMUSG00000032329.5:B1	ENSMUSG00000032329.5	Hmg20a	alternative first region	alternative acceptor; cassette exon	chr9	+	null	[56326113, 56326215]	3	[[], [[56325892, 56326113]], [[56326103, 56326113]]]	6	29.255908209468544	0.0018242122719734	0.040165988929023
ENSMUSG00000032366.16:B1	ENSMUSG00000032366.16	Tpm1	alternative first region	alternative acceptor	chr9	-	[66943276, 66943410]	null	5	[[[66950859, 66951015]], [[66956300, 66956491], [66955405, 66955531], [66955067, 66955193]], [[66956300, 66956495], [66955067, 66955193]], [[66956300, 66956544], [66955067, 66955193]], [[66956300, 66956546], [66955067, 66955193]]]	6	101.22562684025615	0.0016998341625207	0.0390314301508331
ENSMUSG00000032366.16:B3	ENSMUSG00000032366.16	Tpm1	alternative last region	alternative donor; mutually exclusive exons	chr9	-	null	[66938310, 66938380]	4	[[[66929874, 66930723]], [[66936129, 66937024]], [[66936945, 66937024], [66935173, 66935449]], [[66936945, 66937024], [66935329, 66935449]]]	6	98.19078665219968	0.0012437810945273	0.0324189861503294
ENSMUSG00000032479.16:B1	ENSMUSG00000032479.16	Map4	whole-gene complex		chr9	+	null	null	3	[[[109760527, 109761008], [109807917, 109808159], [109828839, 109828908], [109855168, 109855291], [109856746, 109856860], [109861166, 109861301], [109863440, 109864574], [109865809, 109865923], [109892084, 109892191], [109893295, 109893517], [109896552, 109896736], [109897591, 109897651], [109897760, 109898053], [109900093, 109900207], [109901680, 109901773], [109907070, 109907152], [109908848, 109908961], [109910488, 109910678], [109910802, 109913023]], [[109881115, 109882590], [109892084, 109892191], [109893295, 109893517], [109896552, 109896736], [109897591, 109897651], [109897760, 109898053], [109901680, 109901773], [109907070, 109907152], [109908848, 109908961], [109910488, 109910678], [109910908, 109913014]], [[109891658, 109892191], [109893295, 109893517], [109896552, 109896736], [109897591, 109897651], [109897760, 109898053], [109900093, 109900207], [109901680, 109901773], [109907070, 109907152], [109908848, 109908961], [109910488, 109910678], [109910802, 109912238]]]	10	173.76544107801055	0.0002072968490878	0.0135079108959705
ENSMUSG00000032503.19:B1	ENSMUSG00000032503.19	Arpp21	alternative first region	cassette exon; multi-exon skipping; mutually exclusive exons	chr9	-	[112014676, 112014837]	null	6	[[[112014975, 112015017]], [[112016657, 112016834]], [[112016928, 112016997], [112016657, 112016834], [112016537, 112016575]], [[112045995, 112046329], [112016657, 112016834]], [[112046323, 112046419], [112016657, 112016834]], [[112061402, 112061569], [112016657, 112016834]]]	9	361.1611629461331	0.0001243781094527	0.0117598283094332
ENSMUSG00000032503.19:B2	ENSMUSG00000032503.19	Arpp21	alternative last region		chr9	-	null	[112012562, 112012652]	5	[[[112008095, 112008240], [112006725, 112006804], [112006001, 112006061], [112005162, 112005303], [111972376, 111972606], [111965521, 111965749], [111956346, 111956528], [111953807, 111954068], [111948250, 111948377], [111945287, 111945835]], [[112008095, 112008240], [112006725, 112006804], [112006001, 112006061], [112005162, 112005303], [111986757, 111986866], [111978402, 111978440], [111972376, 111972606], [111965521, 111965749], [111956346, 111956528], [111955502, 111955607], [111953807, 111954068], [111948250, 111948377], [111896228, 111896377], [111894327, 111895090]], [[112008095, 112008240], [112006725, 112006804], [112006001, 112006061], [112005162, 112005303], [111986757, 111986866], [111978402, 111978440], [111976490, 111976550], [111972376, 111972606], [111965521, 111965749], [111956346, 111956528], [111955502, 111955607], [111953807, 111954068], [111948250, 111948377], [111896228, 111896377], [111894158, 111895090]], [[112008095, 112008240], [112006725, 112006804], [112006001, 112006061], [112005162, 112005303], [111990005, 111990701]], [[112009099, 112011888]]]	9	109.05937370794707	0.0012437810945273	0.0324189861503294
ENSMUSG00000032517.17:B1	ENSMUSG00000032517.17	Mobp	alternative first region	alternative acceptor; cassette exon	chr9	+	null	[119996866, 119997076]	3	[[[119978772, 119978863], [119983752, 119983831]], [[119978807, 119978863]], [[119978807, 119978863], [119983752, 119983831]]]	4	32.69096088977585	0.0004975124378109	0.0207913764510779
ENSMUSG00000032536.13:B1	ENSMUSG00000032536.13	Trak1	alternative first region	alternative acceptor	chr9	+	null	[121260544, 121260621]	4	[[[121126577, 121126899], [121193066, 121193365], [121220922, 121221117]], [[121196033, 121196257], [121220922, 121221117]], [[121196081, 121196257], [121220922, 121221117]], [[121245040, 121245379]]]	9	81.76849161007522	0.0016169154228855	0.0384077151189863
ENSMUSG00000032773.10:B1	ENSMUSG00000032773.10	Chrm1	cassette exon	cassette exon	chr19	+	[8641368, 8641821]	[8655225, 8658931]	2	[[], [[8642272, 8642364]]]	7	23.8346589707362	0.0005389718076285	0.0207913764510779
ENSMUSG00000032826.20:B1	ENSMUSG00000032826.20	Ank2	whole-gene complex		chr3	-	null	null	5	[[[126791972, 126792111], [126791501, 126791600], [126781792, 126781865], [126775448, 126775593], [126770493, 126770596], [126769699, 126769803], [126758586, 126758811], [126755899, 126756054], [126753301, 126753513], [126752531, 126752736], [126750904, 126751001], [126749518, 126749747], [126748632, 126748758], [126746825, 126746948], [126746137, 126746170], [126744383, 126744405], [126733720, 126733795], [126731386, 126731518], [126730268, 126730412], [126728174, 126728427], [126726586, 126726875], [126723646, 126723730], [126723370, 126723535], [126722313, 126722496], [126715260, 126717620]], [[127019412, 127019496], [126898409, 126898511], [126873546, 126873645], [126871150, 126871249], [126850641, 126850740], [126846336, 126846522], [126845874, 126845898], [126841830, 126841929], [126840373, 126840472], [126832395, 126832494], [126825764, 126825962], [126823123, 126823222], [126822867, 126822966], [126816940, 126817039], [126810464, 126810662], [126806887, 126806986], [126806321, 126806420], [126804502, 126804700], [126797593, 126797692], [126796326, 126796425], [126792525, 126792624], [126791501, 126791600], [126781792, 126781865], [126775448, 126775593], [126770493, 126770596], [126769699, 126769803], [126758586, 126758811], [126757031, 126757130], [126755899, 126756054], [126753301, 126753513], [126752531, 126752736], [126750904, 126751001], [126749518, 126749747], [126748632, 126748758], [126746825, 126746948], [126746137, 126746170], [126744383, 126744405], [126735258, 126741456], [126733720, 126733795], [126731386, 126731518], [126730268, 126730412], [126728174, 126728427], [126726586, 126726875], [126723646, 126723730], [126723370, 126723535], [126716973, 126717620]], [[127202493, 127202616], [127132780, 127132841], [126898409, 126898511], [126873546, 126873645], [126871150, 126871249], [126850641, 126850740], [126846336, 126846522], [126845874, 126845898], [126841830, 126841929], [126840373, 126840472], [126832395, 126832494], [126824821, 126825962]], [[127202493, 127202680], [127132780, 127132841], [127041782, 127041881], [126898409, 126898511], [126873546, 126873645], [126871150, 126871249], [126850641, 126850740], [126846336, 126846522], [126841830, 126841929], [126840373, 126840472], [126832395, 126832494], [126825764, 126825962], [126823123, 126823222], [126822867, 126822966], [126818422, 126819271]], [[127292311, 127292650]]]	13	455.86877381568775	0.0001658374792703	0.0135079108959705
ENSMUSG00000032827.16:B1	ENSMUSG00000032827.16	Ppp1r9a	alternative first region	mutually exclusive exons	chr6	+	null	[4905415, 4906844]	2	[[[4902973, 4903031], [4905225, 4905415]], [[4903319, 4903448], [4905225, 4905415]]]	13	35.08733019695137	0.0014510779436152	0.0353388780005695
ENSMUSG00000032875.9:B1	ENSMUSG00000032875.9	Arhgef17	alternative first region	mutually exclusive exons	chr7	-	[100539627, 100539705]	null	2	[[[100543649, 100543897]], [[100577775, 100581314]]]	8	91.85682210927372	0.0001243781094527	0.0117598283094332
ENSMUSG00000032890.18:B1	ENSMUSG00000032890.18	Rims3	alternative first region	multi-exon skipping; mutually exclusive exons	chr4	+	null	[120735065, 120735282]	3	[[], [[120712015, 120712319], [120729673, 120729847], [120735034, 120735065]], [[120718973, 120719209], [120729673, 120729847], [120735034, 120735065]]]	6	38.88584948161315	0.0005389718076285	0.0207913764510779
ENSMUSG00000032890.18:B2	ENSMUSG00000032890.18	Rims3	alternative last region	cassette exon	chr4	+	[120748491, 120748757]	null	2	[[], [[120748757, 120753776]]]	6	25.56992062235986	0.0005804311774461	0.0212033268003417
ENSMUSG00000032936.14:B1	ENSMUSG00000032936.14	Camkv	alternative first region	mutually exclusive exons	chr9	+	null	[107822477, 107822581]	2	[[[107812872, 107813250]], [[107822457, 107822477]]]	9	27.81012203231694	0.0006218905472636	0.0212677746021664
ENSMUSG00000033389.17:B1	ENSMUSG00000033389.17	Arhgap44	alternative first region	mutually exclusive exons	chr11	-	[64965996, 64966036]	null	2	[[[65053290, 65053393]], [[65053411, 65053787]]]	4	25.623334172582872	0.0002072968490878	0.0135079108959705
ENSMUSG00000033597.10:B1	ENSMUSG00000033597.10	Caskin1	alternative first region	cassette exon	chr17	+	null	[24707848, 24708037]	2	[[], [[24707756, 24707848]]]	8	27.5355955521336	0.0001243781094527	0.0117598283094332
ENSMUSG00000033768.18:B1	ENSMUSG00000033768.18	Nrxn2	alternative first region	alternative acceptor	chr19	+	null	[6554904, 6555086]	4	[[[6468767, 6469002], [6477834, 6478808], [6493660, 6493678], [6498284, 6498314], [6500557, 6500629], [6505008, 6505310], [6522287, 6522449], [6523347, 6523786], [6531139, 6531526], [6531701, 6531905], [6538813, 6538840], [6540096, 6540216], [6540563, 6540945], [6541513, 6541704], [6542865, 6543039], [6543365, 6543485]], [[6468794, 6469002], [6477834, 6478808], [6493660, 6493678], [6498284, 6498314], [6505008, 6505310], [6513853, 6513877], [6522287, 6522449], [6523347, 6523786], [6531139, 6531526], [6531701, 6531905], [6540096, 6540216], [6540563, 6540945], [6541513, 6541704], [6542865, 6543039], [6543365, 6543485]], [[6547857, 6548561]], [[6547864, 6548561]]]	12	116.25566293035808	0.001077943615257	0.0300453416923091
ENSMUSG00000034613.13:B1	ENSMUSG00000034613.13	Ppm1h	alternative first region	alternative acceptor	chr10	+	null	[122739996, 122740060]	3	[[[122514682, 122515335], [122618087, 122618250], [122638139, 122638484], [122647351, 122647464], [122692966, 122693051], [122714413, 122714532]], [[122514686, 122515335], [122618087, 122618250], [122638139, 122638484], [122647351, 122647464], [122692966, 122693051], [122714413, 122714532]], [[122731272, 122731534]]]	4	21.084550666397945	0.0014510779436152	0.0353388780005695
ENSMUSG00000034751.18:B1	ENSMUSG00000034751.18	Mast4	alternative first region	alternative acceptor	chr13	-	[102990338, 102990427]	null	5	[[[103042156, 103042614]], [[103094545, 103094975], [103089633, 103089714]], [[103233255, 103233353], [103162029, 103162061], [103143712, 103143748]], [[103470343, 103470700], [103307910, 103308064], [103276670, 103276795], [103162029, 103162061]], [[103470343, 103470968], [103307910, 103308064], [103276670, 103276795], [103162029, 103162061]]]	10	102.28406513533992	0.001077943615257	0.0300453416923091
ENSMUSG00000034755.19:B1	ENSMUSG00000034755.19	Pcdh11x	alternative first region	alternative acceptor; cassette exon	chrX	+	null	[119274482, 119275066]	3	[[], [[119199955, 119200348]], [[119200023, 119200348]]]	2	13.835988491765534	0.0008706467661691	0.0259151772004176
ENSMUSG00000034755.19:B2	ENSMUSG00000034755.19	Pcdh11x	alternative last region		chrX	+	[119309098, 119311553]	null	4	[[[119311553, 119311594], [119318083, 119320397]], [[119311553, 119311594], [119504401, 119504482], [119547291, 119547321], [119636197, 119636396], [119720836, 119720860], [119815394, 119816041]], [[119311553, 119311594], [119504401, 119504482], [119636197, 119636396], [119815394, 119820316]], [[119414972, 119414996], [119425897, 119425943], [119459789, 119459798], [119502252, 119502287], [119528730, 119528756], [119636197, 119636396], [119785726, 119785739], [119815383, 119816041]]]	2	15.320144583634487	0.0025704809286898	0.0499792703150912
ENSMUSG00000035437.16:B1	ENSMUSG00000035437.16	Rabgap1	alternative first region	mutually exclusive exons	chr2	+	null	[37359388, 37359588]	2	[[[37333296, 37333468]], [[37342256, 37342313]]]	10	32.82643713890138	0.0006218905472636	0.0212677746021664
ENSMUSG00000035863.15:B1	ENSMUSG00000035863.15	Palm	alternative first region	cassette exon	chr10	+	null	[79629500, 79629574]	2	[[], [[79629405, 79629500]]]	7	127.28031998245932	0.0001243781094527	0.0117598283094332
ENSMUSG00000035863.15:B2	ENSMUSG00000035863.15	Palm	alternative last region	cassette exon; mutually exclusive exons	chr10	+	[79651018, 79651075]	null	3	[[[79651075, 79653232]], [[79652625, 79652757], [79654874, 79656730]], [[79654874, 79656730]]]	7	137.52027604350224	0.0001243781094527	0.0117598283094332
ENSMUSG00000036095.12:B1	ENSMUSG00000036095.12	Dgkb	alternative first region	mutually exclusive exons	chr12	+	null	[38031753, 38032009]	2	[[[37930335, 37930417]], [[37930703, 37930953]]]	8	30.00642575302209	0.0005389718076285	0.0207913764510779
ENSMUSG00000036257.16:B1	ENSMUSG00000036257.16	Pnpla8	alternative first region		chr12	+	null	[44330093, 44330487]	3	[[[44268152, 44268243], [44277338, 44277395], [44278002, 44278213], [44301367, 44301556]], [[44315930, 44316084], [44329360, 44330093]], [[44329355, 44330093]]]	6	31.88565349655073	0.0014510779436152	0.0353388780005695
ENSMUSG00000036561.10:B1	ENSMUSG00000036561.10	Ppp6r2	alternative first region	multi-exon skipping	chr15	+	null	[89137237, 89137453]	3	[[], [[89095770, 89095982], [89126362, 89126491], [89127507, 89127662], [89130460, 89130543], [89137221, 89137237]], [[89095803, 89095982], [89126362, 89126491], [89130460, 89130543], [89137221, 89137237]]]	6	36.55089588808551	0.0005804311774461	0.0212033268003417
ENSMUSG00000036565.8:B1	ENSMUSG00000036565.8	Ttyh3	alternative first region	cassette exon	chr5	-	[140634459, 140634780]	null	2	[[], [[140634780, 140634786]]]	7	24.65323741983775	0.0016998341625207	0.0390314301508331
ENSMUSG00000036667.15:B1	ENSMUSG00000036667.15	Tcaf1	alternative first region	mutually exclusive exons	chr6	-	[42663258, 42663892]	null	2	[[[42669866, 42669993]], [[42686892, 42687022]]]	9	30.193296814297355	0.0004145936981757	0.0194094253650839
ENSMUSG00000036707.17:B1	ENSMUSG00000036707.17	Cab39	alternative first region		chr1	+	null	[85746077, 85746234]	2	[[[85721161, 85721542]], [[85722231, 85722270], [85723077, 85723194]]]	7	34.60920413956865	0.0004560530679933	0.0201751182923304
ENSMUSG00000036815.18:B1	ENSMUSG00000036815.18	Dpp10	alternative first region	mutually exclusive exons	chr1	-	[123832788, 123832903]	null	3	[[[123972861, 123972900]], [[123973108, 123973296]], [[124773455, 124773776]]]	4	81.24093099783886	0.0001243781094527	0.0117598283094332
ENSMUSG00000037386.17:B1	ENSMUSG00000037386.17	Rims2	alternative first region		chr15	+	null	[39538335, 39538477]	3	[[[39061726, 39061933], [39138370, 39138403], [39138808, 39138895], [39155496, 39155707], [39208705, 39209016], [39300392, 39301318], [39315619, 39315828], [39317755, 39317875], [39320073, 39320173], [39321159, 39321283], [39322984, 39323031], [39325893, 39326006], [39335729, 39335860], [39339775, 39339947], [39341952, 39342106], [39370361, 39370430], [39373040, 39373197], [39374659, 39374770], [39399267, 39399377], [39430338, 39430439], [39448985, 39449158], [39479664, 39479906]], [[39061757, 39061933], [39155496, 39155707], [39208705, 39209016], [39300392, 39301318], [39315619, 39315828], [39317755, 39317875], [39320073, 39320173], [39321159, 39321283], [39322984, 39323031], [39325893, 39326006], [39335729, 39335860], [39339775, 39339947], [39341952, 39342106], [39370361, 39370430], [39373040, 39373197], [39374659, 39374770], [39381201, 39381267], [39398233, 39398413], [39399267, 39399377], [39430338, 39430439], [39448985, 39449158], [39479664, 39479906]], [[39522961, 39523322]]]	7	54.93207688442271	0.0001243781094527	0.0117598283094332
ENSMUSG00000037509.22:B1	ENSMUSG00000037509.22	Arhgef4	alternative first region		chr1	+	null	[34843994, 34844174]	2	[[[34717268, 34717343], [34760784, 34764240], [34771189, 34771489], [34784398, 34784525], [34832306, 34832443]], [[34840784, 34841082]]]	6	70.11517952789109	0.0001243781094527	0.0117598283094332
ENSMUSG00000037933.17:B1	ENSMUSG00000037933.17	Bicd2	alternative first region	alternative acceptor	chr13	+	null	[49495071, 49495117]	2	[[[49495060, 49495071]], [[49495066, 49495071]]]	6	61.59160131410636	0.0001243781094527	0.0117598283094332
ENSMUSG00000038156.17:B1	ENSMUSG00000038156.17	Spon1	alternative first region	cassette exon	chr7	+	null	[113365410, 113365803]	2	[[], [[113365234, 113365410]]]	5	18.421762874618707	0.0019485903814262	0.0413925234327627
ENSMUSG00000038170.16:B1	ENSMUSG00000038170.16	Pde4dip	alternative first region		chr3	-	[97666114, 97666246]	null	2	[[[97673789, 97675325]], [[97795804, 97796023], [97750974, 97751030], [97748949, 97749101], [97731530, 97731641], [97704047, 97704124], [97700800, 97700924], [97700460, 97700636], [97700054, 97700172]]]	10	31.04874535138879	0.0012437810945273	0.0324189861503294
ENSMUSG00000038244.15:B1	ENSMUSG00000038244.15	Mical2	whole-gene complex		chr7	+	null	null	5	[[[111825062, 111825228], [111834553, 111834626], [111870436, 111870776], [111902794, 111903002], [111906210, 111906327], [111908632, 111908734], [111910522, 111910678], [111914178, 111914279], [111917592, 111917850], [111918918, 111919034], [111919813, 111919940], [111920552, 111920643], [111921722, 111921870], [111922684, 111922884], [111923181, 111923288], [111927858, 111927927], [111931102, 111931246], [111945928, 111946115], [111948600, 111948689], [111950531, 111954401]], [[111870505, 111870776], [111902794, 111903002], [111906210, 111906327], [111908632, 111908734], [111910522, 111910678], [111914178, 111914279], [111917592, 111917850], [111918918, 111919034], [111919813, 111919940], [111920552, 111920643], [111921722, 111921870], [111922684, 111922884], [111923181, 111923288], [111927858, 111927927], [111931102, 111931246], [111933035, 111933161], [111934144, 111934363], [111934535, 111934637], [111936055, 111936181], [111944452, 111944560], [111945928, 111946115], [111948600, 111948689], [111950531, 111950634], [111953105, 111953182]], [[111967514, 111967665], [111975221, 111975296], [111979489, 111979635], [111980162, 111981444], [111990472, 111990564], [111994000, 111994081], [111996678, 111996772], [112006766, 112006866], [112010596, 112010670], [112012009, 112012313]], [[111973551, 111973860], [111975221, 111975296], [111979489, 111979635], [111980162, 111981444], [111990472, 111990564], [111994000, 111994081], [111994288, 111994562]], [[111974074, 111974139], [111975221, 111975296], [111979489, 111979635], [111980162, 111981444], [111990472, 111990564], [111994000, 111994081], [111996678, 111996772], [112006766, 112006866], [112010596, 112010670], [112012009, 112012309]]]	8	207.85202393829783	0.0004145936981757	0.0194094253650839
ENSMUSG00000038453.18:B1	ENSMUSG00000038453.18	Srcin1	alternative first region	alternative acceptor; mutually exclusive exons	chr11	-	[97427133, 97427332]	null	4	[[[97464621, 97464770], [97442502, 97442804], [97433359, 97433383], [97427869, 97428065]], [[97464621, 97464879], [97442502, 97442804], [97433359, 97433383], [97427869, 97428065]], [[97465793, 97466041], [97442502, 97442804], [97439705, 97439804], [97433359, 97433383], [97427869, 97428065]], [[97465793, 97466052], [97442502, 97442804], [97433359, 97433383], [97427869, 97428065]]]	11	151.21139852888882	0.0005804311774461	0.0212033268003417
ENSMUSG00000038453.18:B2	ENSMUSG00000038453.18	Srcin1	alternative last region	cassette exon; mutually exclusive exons	chr11	-	null	[97413915, 97414068]	5	[[[97407489, 97409582]], [[97409435, 97409582], [97400165, 97403474]], [[97409435, 97409582], [97403684, 97403761]], [[97413198, 97413321], [97409435, 97409582], [97400165, 97403474]], [[97413198, 97413321], [97410139, 97410999]]]	11	176.90839417836105	0.0004560530679933	0.0201751182923304
ENSMUSG00000038677.15:B4	ENSMUSG00000038677.15	Scube3	cassette exon	cassette exon	chr17	+	[28384400, 28384616]	[28385330, 28385498]	2	[[], [[28384960, 28385122]]]	2	9.969430609433177	0.0018242122719734	0.040165988929023
ENSMUSG00000038677.15:B5	ENSMUSG00000038677.15	Scube3	alternative last region	alternative donor; mutually exclusive exons	chr17	+	[28387355, 28387435]	null	3	[[[28387435, 28389119]], [[28390169, 28391111]], [[28390169, 28393828]]]	2	12.038503263446728	0.0019485903814262	0.0413925234327627
ENSMUSG00000038738.16:B1	ENSMUSG00000038738.16	Shank1	alternative first region	cassette exon	chr7	+	null	[43962130, 43962385]	2	[[], [[43962111, 43962130]]]	13	44.92679202236468	0.0005389718076285	0.0207913764510779
ENSMUSG00000038914.16:B2	ENSMUSG00000038914.16	Dido1	alternative last region		chr2	-	null	[180325601, 180325821]	3	[[[180316760, 180317220], [180316483, 180316643], [180315267, 180315384], [180315023, 180315128], [180314075, 180314211], [180313184, 180313707], [180312653, 180312807], [180312057, 180312147], [180311005, 180311379]], [[180316760, 180317220], [180316483, 180316643], [180315267, 180315384], [180315023, 180315128], [180314075, 180314211], [180313184, 180313707], [180312653, 180312807], [180312057, 180312147], [180311183, 180311379], [180299756, 180304376]], [[180322850, 180325601]]]	7	69.92486897052913	0.0001243781094527	0.0117598283094332
ENSMUSG00000039126.11:B1	ENSMUSG00000039126.11	Prune2	alternative first region		chr19	+	null	[17145626, 17145706]	2	[[[16933481, 16933656], [16977302, 16977407], [16980985, 16981188], [16983985, 16984149], [16993571, 16993721], [16997922, 16998017], [17090950, 17091106], [17095406, 17101956], [17102301, 17103067]], [[17114129, 17114255]]]	5	31.38937516543137	0.0002072968490878	0.0135079108959705
ENSMUSG00000040003.19:B1	ENSMUSG00000040003.19	Magi2	alternative first region		chr5	+	null	[20433369, 20433449]	3	[[[19432048, 19432587], [19883650, 19883767], [20270549, 20270669], [20400018, 20400231], [20420316, 20420527]], [[20112515, 20113011], [20270549, 20270669], [20400018, 20400231], [20420316, 20420527]], [[20433183, 20433242]]]	10	207.9646124858045	0.0002072968490878	0.0135079108959705
ENSMUSG00000040003.19:B3	ENSMUSG00000040003.19	Magi2	alternative last region	alternative donor	chr5	+	[20856052, 20856191]	null	4	[[[20856191, 20856676]], [[20856191, 20856726]], [[20866261, 20866350], [20907067, 20907901]], [[20866261, 20866350], [20907067, 20909790]]]	10	226.12786717445124	0.0002487562189054	0.0139477033437463
ENSMUSG00000040035.15:B1	ENSMUSG00000040035.15	Disp2	alternative first region	alternative acceptor; cassette exon	chr2	+	null	[118610222, 118610410]	3	[[], [[118610199, 118610222]], [[118610202, 118610222]]]	7	32.44988017653304	0.0019485903814262	0.0413925234327627
ENSMUSG00000040037.14:B1	ENSMUSG00000040037.14	Negr1	alternative first region	alternative acceptor; cassette exon	chr3	+	null	[156267605, 156267989]	3	[[], [[156267430, 156267605]], [[156267595, 156267605]]]	7	35.34232699194217	0.00136815920398	0.0349061570454605
ENSMUSG00000040183.14:B3	ENSMUSG00000040183.14	Ankrd6	cassette exon	cassette exon	chr4	-	[32817418, 32817550]	[32822152, 32822251]	2	[[[32821256, 32821334]], [[32821256, 32821334], [32818604, 32818709]]]	6	38.23386948333791	0.0001243781094527	0.0117598283094332
ENSMUSG00000040455.18:B1	ENSMUSG00000040455.18	Usp45	cassette exon	cassette exon	chr4	+	[21816881, 21816938]	[21824416, 21825077]	2	[[], [[21817500, 21817644]]]	9	29.53508617794523	0.0006218905472636	0.0212677746021664
ENSMUSG00000040785.20:B1	ENSMUSG00000040785.20	Ttc3	whole-gene complex		chr16	+	null	null	4	[[[94171476, 94171720], [94184770, 94184925], [94185204, 94185247], [94185642, 94185793], [94186194, 94186282], [94188195, 94188249], [94189123, 94189244], [94191060, 94191146], [94192873, 94192968], [94193970, 94194033], [94204172, 94204227], [94209412, 94209575], [94210542, 94210588], [94211691, 94211815], [94212918, 94212982], [94216807, 94216868], [94217140, 94217225], [94219465, 94219600], [94220256, 94220337], [94221106, 94221219], [94223085, 94223206], [94224923, 94225046], [94225945, 94226047], [94227009, 94227102], [94227624, 94227689], [94228649, 94228786], [94230217, 94230544], [94232646, 94232898], [94233974, 94234021], [94235174, 94235231], [94236334, 94236405], [94240043, 94240208], [94243329, 94244350], [94245343, 94245409], [94248857, 94249007], [94251878, 94252018], [94253822, 94253891], [94255285, 94255382], [94257569, 94257670], [94258179, 94258270], [94258789, 94258891], [94260620, 94260961], [94263080, 94263207], [94263354, 94263489], [94267761, 94267854], [94268784, 94270079]], [[94171650, 94171720], [94204172, 94204227], [94209412, 94209575], [94210542, 94210588], [94211691, 94211815], [94212918, 94212982], [94216807, 94216868], [94217140, 94217225], [94220256, 94220337], [94221106, 94221219], [94223085, 94223206], [94224923, 94225046], [94225945, 94226047], [94227009, 94227102], [94227624, 94227689], [94228649, 94228786], [94230217, 94230544], [94232646, 94232898], [94233974, 94234021], [94235174, 94235231], [94236334, 94236405], [94240043, 94240208], [94243329, 94244350], [94245343, 94245409], [94248857, 94249007], [94251878, 94252018], [94253822, 94253891], [94255285, 94255382], [94257569, 94257670], [94258179, 94258270], [94258789, 94258891], [94260620, 94260961], [94263080, 94263207], [94263354, 94263489], [94267761, 94267854], [94268784, 94270202]], [[94171656, 94171720], [94184770, 94184925], [94185204, 94185247], [94185642, 94185793], [94186194, 94186282], [94188195, 94188249], [94189123, 94189244], [94191060, 94191146], [94192873, 94192968], [94193970, 94194033], [94195193, 94198054]], [[94181599, 94182312], [94184770, 94184925], [94185204, 94185247], [94185642, 94185793], [94186194, 94186282], [94188195, 94188249], [94189123, 94189244], [94191060, 94191146], [94192873, 94192968], [94193970, 94194033], [94204172, 94204227], [94209412, 94209575], [94210542, 94210588], [94211691, 94211815], [94212918, 94212982], [94216807, 94216868], [94217140, 94217225], [94219465, 94219600], [94220256, 94220337], [94221106, 94221219], [94223085, 94223206], [94224923, 94225046], [94225945, 94226047], [94227009, 94227102], [94227624, 94227689], [94228649, 94228786], [94230217, 94230544], [94232646, 94232898], [94233974, 94234021], [94235174, 94235231], [94236334, 94236405], [94240043, 94240208], [94243329, 94244350], [94245343, 94245409], [94248857, 94249007], [94251878, 94252018], [94253822, 94253891], [94255285, 94255382], [94257569, 94257670], [94258179, 94258270], [94258789, 94258891], [94260620, 94260961], [94263080, 94263207], [94263354, 94263489], [94267761, 94267854], [94268784, 94270202]]]	13	140.47629682206025	0.0007462686567164	0.024314239612747
ENSMUSG00000040797.17:B1	ENSMUSG00000040797.17	Iqsec3	alternative last region		chr6	-	null	[121387572, 121387734]	2	[[[121366958, 121367081], [121366425, 121366592], [121364692, 121364832], [121363531, 121363657], [121361160, 121361260], [121360873, 121361035], [121358607, 121358700], [121356953, 121357003], [121349891, 121353490]], [[121381785, 121387572]]]	8	199.95997225611063	0.0001243781094527	0.0117598283094332
ENSMUSG00000041439.16:B1	ENSMUSG00000041439.16	Mfsd6	alternative last region	mutually exclusive exons	chr1	-	null	[52699965, 52700246]	2	[[[52695444, 52697704]], [[52699144, 52699965]]]	4	18.652931383056966	0.0006218905472636	0.0212677746021664
ENSMUSG00000041444.15:B1	ENSMUSG00000041444.15	Arhgap32	alternative first region		chr9	+	null	[32150557, 32150707]	2	[[[32027431, 32027547], [32040865, 32040974], [32063217, 32063309], [32064335, 32064420], [32081385, 32081472], [32093137, 32093275], [32097624, 32097717], [32098929, 32099052], [32101279, 32101357], [32119479, 32119561]], [[32135544, 32135883]]]	9	32.30664632558182	0.0002487562189054	0.0139477033437463
